2022.2.5f1,31.01.2023
2022.2.4f1,27.01.2023
2021.3.17f1,24.01.2023
2022.2.3f1,23.01.2023
2020.3.44f1,18.01.2023
2022.2.2f1,10.01.2023
2021.3.16f1,15.12.2022
2020.3.43f1,15.12.2022
2022.2.1f1,12.12.2022
2022.2.0f1,07.12.2022
2022.1.24f1,06.12.2022
2021.3.15f1,01.12.2022
2021.3.14f1,17.11.2022
2020.3.42f1,17.11.2022
2022.1.23f1,16.11.2022
2022.1.22f1,09.11.2022
2021.3.13f1,04.11.2022
2022.1.21f1,27.10.2022
2021.3.12f1,25.10.2022
2020.3.41f1,21.10.2022
2022.1.20f1,12.10.2022
2022.1.19f1,05.10.2022
2022.1.18f1,29.09.2022
2021.3.11f1,29.09.2022
2020.3.40f1,27.09.2022
2022.1.17f1,21.09.2022
2021.3.10f1,16.09.2022
2020.3.39f1,14.09.2022
2022.1.16f1,08.09.2022
2022.1.15f1,01.09.2022
2021.3.9f1,01.09.2022
2022.1.14f1,22.08.2022
2020.3.38f1,17.08.2022
2022.1.13f1,11.08.2022
2021.3.8f1,08.08.2022
2022.1.12f1,05.08.2022
2021.3.7f1,28.07.2022
2022.1.11f1,27.07.2022
2020.3.37f1,21.07.2022
2022.1.10f1,20.07.2022
2019.4.40f1,16.07.2022
2022.1.9f1,14.07.2022
2021.3.6f1,08.07.2022
2022.1.8f1,07.07.2022
2022.1.7f1,29.06.2022
2022.1.6f1,23.06.2022
2021.3.5f1,22.06.2022
2020.3.36f1,16.06.2022
2022.1.5f1,15.06.2022
2022.1.4f1,08.06.2022
2022.1.3f1,31.05.2022
2021.3.4f1,31.05.2022
2020.3.35f1,26.05.2022
2022.1.2f1,25.05.2022
2021.3.3f1,19.05.2022
2022.1.1f1,18.05.2022
2019.4.39f1,11.05.2022
2022.1.0f1,09.05.2022
2021.3.2f1,05.05.2022
2020.3.34f1,04.05.2022
2021.3.1f1,21.04.2022
2019.4.38f1,13.04.2022
2021.3.0f1,11.04.2022
